127.0.0.1 - - [13/Dec/2017:10:00:19 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:28 +0900] "GET /shop/ HTTP/1.1" 200 9103
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:31 +0900] "POST /shop/IndexAction.action;jsessionid=4022B7F0A81928890387CB3E233545AE HTTP/1.1" 200 8830
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:40 +0900] "POST /shop/LoginAction.action HTTP/1.1" 200 8351
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:41 +0900] "GET /shop/DesktopAction? HTTP/1.1" 200 39727
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/Cure.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "POST /shop/PerchaseAction.action HTTP/1.1" 200 20144
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/connector2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/diskDrive.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/office.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/connector.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/kuukou.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/timeCapsule.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Dec/2017:10:00:50 +0900] "GET /shop/mikan10.png HTTP/1.1" 304 -
